Год;Месяц;День_недели;Средняя_выручка_за_день
2025;Январь;ПН;53175,39
2025;Январь;ВТ;46606,39
2025;Январь;СР;41432,31
2025;Январь;ЧТ;50071,11
2025;Январь;ПТ;43061,01
2025;Январь;СБ;52302,84
2025;Январь;ВС;45002,16
2025;Февраль;ПН;72831,28
2025;Февраль;ВТ;59563,00
2025;Февраль;СР;63099,04
2025;Февраль;ЧТ;68725,91
2025;Февраль;ПТ;63122,49
2025;Февраль;СБ;56540,45
2025;Февраль;ВС;51626,77
2025;Март;ПН;78923,69
2025;Март;ВТ;70585,35
2025;Март;СР;78890,19
2025;Март;ЧТ;69946,60
2025;Март;ПТ;78198,46
2025;Март;СБ;69825,87
2025;Март;ВС;74435,95
2025;Апрель;ПН;77569,56
2025;Апрель;ВТ;71409,02
2025;Апрель;СР;63607,83
2025;Апрель;ЧТ;78097,31
2025;Апрель;ПТ;74267,25
2025;Апрель;СБ;55289,85
2025;Апрель;ВС;72926,98
2025;Май;ПН;78439,19
2025;Май;ВТ;78381,11
2025;Май;СР;87840,15
2025;Май;ЧТ;80147,29
2025;Май;ПТ;76775,09
2025;Май;СБ;78757,86
2025;Май;ВС;79111,94
2025;Июнь;ПН;88316,01
2025;Июнь;ВТ;91287,41
2025;Июнь;СР;82814,95
2025;Июнь;ЧТ;86988,13
2025;Июнь;ПТ;85058,03
2025;Июнь;СБ;73642,54
2025;Июнь;ВС;83836,48
2025;Июль;ПН;69122,76
2025;Июль;ВТ;80411,02
2025;Июль;СР;73980,71
2025;Июль;ЧТ;81295,87
2025;Июль;ПТ;65523,29
2025;Июль;СБ;81892,86
2025;Июль;ВС;73338,16
2025;Август;ПН;69224,02
2025;Август;ВТ;62961,85
2025;Август;СР;62575,76
2025;Август;ЧТ;62331,20
2025;Август;ПТ;57347,08
2025;Август;СБ;62425,81
2025;Август;ВС;61259,17
2025;Сентябрь;ПН;46464,37
2025;Сентябрь;ВТ;47124,86
2025;Сентябрь;СР;53964,08
2025;Сентябрь;ЧТ;36311,94
2025;Сентябрь;ПТ;49752,82
2025;Сентябрь;СБ;43320,25
2025;Сентябрь;ВС;42615,94
2025;Октябрь;ПН;49869,33
2025;Октябрь;ВТ;40634,70
2025;Октябрь;СР;45036,25
2025;Октябрь;ЧТ;46515,65
2025;Октябрь;ПТ;47608,50
2025;Октябрь;СБ;54206,43
2025;Октябрь;ВС;52347,39
2025;Ноябрь;ПН;36918,29
2025;Ноябрь;ВТ;52277,75
2025;Ноябрь;СР;41073,59
2025;Ноябрь;ЧТ;43998,54
2025;Ноябрь;ПТ;35533,00
2025;Ноябрь;СБ;47496,13
2025;Ноябрь;ВС;52183,60
2025;Декабрь;ПН;51697,06
2025;Декабрь;ВТ;42432,63
2025;Декабрь;СР;40306,13
2025;Декабрь;ЧТ;43404,92
2025;Декабрь;ПТ;47663,74
2025;Декабрь;СБ;29652,97
2025;Декабрь;ВС;48002,54
